AID,BAO,TID,SEQLEN,PROTEINCLASS
445303,BAO_0000357,72,443,membrane receptor
1446797,BAO_0000219,101477,276,enzyme
885406,BAO_0000251,86,527,enzyme
651185,BAO_0000219,11540,1480,ion channel
1465965,BAO_0000357,100217,233,ion channel
350559,BAO_0000219,10579,360,membrane receptor
607037,BAO_0000219,136,372,membrane receptor
490419,BAO_0000219,121,630,transporter
306229,BAO_0000019,174,530,transcription factor
938947,BAO_0000019,11512,328,enzyme
1449715,BAO_0000219,50,477,membrane receptor
443221,BAO_0000357,188,1255,enzyme
808110,BAO_0000357,10193,261,enzyme
799677,BAO_0000219,10938,1132,enzyme
1541406,BAO_0000219,10417,595,ion channel
510548,BAO_0000357,11520,595,enzyme
674740,BAO_0000357,10193,261,enzyme
640775,BAO_0000219,10280,445,membrane receptor
501337,BAO_0000219,100579,363,membrane receptor
643890,BAO_0000357,10495,329,enzyme
519809,BAO_0000357,11225,406,enzyme
759993,BAO_0000219,11362,1068,enzyme
726960,BAO_0000219,100,617,transporter
789985,BAO_0000357,165,1159,ion channel
1453118,BAO_0000219,11489,292,enzyme
560257,BAO_0000357,11627,567,enzyme
303005,BAO_0000357,136,372,membrane receptor
530430,BAO_0000219,101016,1042,enzyme
518627,BAO_0000357,10434,536,enzyme
543474,BAO_0000219,252,412,membrane receptor
376263,BAO_0000219,121,630,transporter
940353,BAO_0000357,11362,1068,enzyme
450225,BAO_0000357,72,443,membrane receptor
340258,BAO_0000357,10498,333,enzyme
879798,BAO_0000219,11261,418,membrane receptor
987636,BAO_0000357,28,313,enzyme
816331,BAO_0000219,100431,300,membrane receptor
1366999,BAO_0000357,10140,509,enzyme
685539,BAO_0000357,10193,261,enzyme
509760,BAO_0000357,10495,329,enzyme
798258,BAO_0000357,10280,445,membrane receptor
305548,BAO_0000019,11682,706,transporter
461490,BAO_0000219,11536,366,membrane receptor
609155,BAO_0000219,227,481,membrane receptor
350363,BAO_0000357,188,1255,enzyme
827636,BAO_0000219,9,1210,enzyme
446290,BAO_0000357,72,443,membrane receptor
982651,BAO_0000357,10599,736,enzyme
1353303,BAO_0000357,11451,1390,enzyme
342032,BAO_0000219,76,503,enzyme
936843,BAO_0000219,10594,941,enzyme
788548,BAO_0000219,100097,659,enzyme
570592,BAO_0000219,13004,503,enzyme
445357,BAO_0000219,130,400,membrane receptor
1511670,BAO_0000357,10532,602,enzyme
969260,BAO_0000357,176,342,membrane receptor
699573,BAO_0000357,121,630,transporter
444757,BAO_0000219,136,372,membrane receptor
740153,BAO_0000219,137,380,membrane receptor
853230,BAO_0000219,252,412,membrane receptor
649575,BAO_0000019,11541,503,enzyme
592355,BAO_0000019,11534,331,enzyme
1349990,BAO_0000357,15,260,enzyme
1364910,BAO_0000219,72,443,membrane receptor
520180,BAO_0000219,278,332,membrane receptor
759348,BAO_0000357,235,267,enzyme
832285,BAO_0000219,130,400,membrane receptor
621600,BAO_0000357,127,487,membrane receptor
447059,BAO_0000221,11473,824,enzyme
941935,BAO_0000357,11209,1182,enzyme
329319,BAO_0000219,107,471,membrane receptor
302488,BAO_0000357,12000,466,enzyme
802318,BAO_0000357,10599,736,enzyme
1462008,BAO_0000219,12252,501,enzyme
848138,BAO_0000251,100146,497,enzyme
1283438,BAO_0000357,10193,261,enzyme
665575,BAO_0000219,72,443,membrane receptor
617696,BAO_0000019,234,1367,enzyme
773456,BAO_0000357,12670,993,enzyme
809836,BAO_0000219,10869,377,epigenetic regulator
1468656,BAO_0000219,165,1159,ion channel
302853,BAO_0000357,259,360,membrane receptor
847915,BAO_0000019,100305,252,enzyme
1513099,BAO_0000019,103454,1362,epigenetic regulator
818207,BAO_0000219,100126,766,enzyme
554591,BAO_0000219,259,360,membrane receptor
441209,BAO_0000357,10378,339,enzyme
960925,BAO_0000219,100431,300,membrane receptor
1501663,BAO_0000357,12968,444,membrane receptor
1470881,BAO_0000357,11451,1390,enzyme
686364,BAO_0000357,93,614,enzyme
458333,BAO_0000357,194,488,enzyme
1431993,BAO_0000219,11307,1215,epigenetic regulator
463840,BAO_0000219,108,458,membrane receptor
302304,BAO_0000357,10193,261,enzyme
802881,BAO_0000357,10331,496,enzyme
1474435,BAO_0000357,12252,501,enzyme
332996,BAO_0000357,130,400,membrane receptor
475763,BAO_0000219,10260,839,ion channel
592285,BAO_0000357,11024,471,enzyme
748113,BAO_0000357,10193,261,enzyme
460818,BAO_0000219,101414,488,enzyme
742334,BAO_0000219,10612,556,enzyme
801533,BAO_0000357,15,260,enzyme
1450414,BAO_0000219,155,620,transporter
1284449,BAO_0000357,10839,313,enzyme
675428,BAO_0000219,252,412,membrane receptor
1475487,BAO_0000019,11541,503,enzyme
498928,BAO_0000357,10193,261,enzyme
1443970,BAO_0000219,103079,806,transporter
882269,BAO_0000357,93,614,enzyme
796524,BAO_0000219,56,920,transcription factor
438894,BAO_0000357,103,572,membrane receptor
605683,BAO_0000357,87,472,membrane receptor
718205,BAO_0000219,114,326,membrane receptor
615510,BAO_0000219,100579,363,membrane receptor
515526,BAO_0000357,10280,445,membrane receptor
305404,BAO_0000357,25,777,transcription factor
806718,BAO_0000357,126,604,enzyme
1368856,BAO_0000357,11902,796,enzyme
587815,BAO_0000357,11336,445,membrane receptor
1451895,BAO_0000357,13061,435,enzyme
812046,BAO_0000219,259,360,membrane receptor
795926,BAO_0000219,100974,655,transporter
821530,BAO_0000357,59,490,transcription factor
726928,BAO_0000357,155,620,transporter
1294187,BAO_0000019,20151,898,enzyme
422303,BAO_0000357,259,360,membrane receptor
635312,BAO_0000357,10980,1356,enzyme
510058,BAO_0000219,118,328,membrane receptor
813545,BAO_0000219,103593,298,enzyme
814440,BAO_0000357,10193,261,enzyme
1278950,BAO_0000219,259,360,membrane receptor
139126,BAO_0000219,214,479,membrane receptor
946080,BAO_0000219,133,505,transcription factor
772494,BAO_0000219,10280,445,membrane receptor
958224,BAO_0000219,104499,362,membrane receptor
541285,BAO_0000219,155,620,transporter
786050,BAO_0000219,11362,1068,enzyme
770251,BAO_0000357,188,1255,enzyme
1335476,BAO_0000219,11272,223,membrane receptor
305367,BAO_0000357,11534,331,enzyme
855540,BAO_0000219,10627,440,membrane receptor
305055,BAO_0000357,3,875,enzyme
306874,BAO_0000219,11280,1212,membrane receptor
501320,BAO_0000357,100579,363,membrane receptor
570760,BAO_0000219,234,1367,enzyme
395699,BAO_0000219,61,460,membrane receptor
821480,BAO_0000019,100855,326,enzyme
1463123,BAO_0000357,133,505,transcription factor
957632,BAO_0000357,10938,1132,enzyme
1500395,BAO_0000357,11939,1102,enzyme
336777,BAO_0000357,10434,536,enzyme
303672,BAO_0000019,246,343,membrane receptor
535681,BAO_0000357,10498,333,enzyme
302668,BAO_0000357,15,260,enzyme
538313,BAO_0000219,278,332,membrane receptor
450502,BAO_0000219,10142,332,membrane receptor
305158,BAO_0000357,11871,470,enzyme
321616,BAO_0000357,10185,362,enzyme
795018,BAO_0000219,107,471,membrane receptor
595267,BAO_0000357,129,400,membrane receptor
378870,BAO_0000357,11682,706,transporter
1501401,BAO_0000219,142,358,membrane receptor
1504564,BAO_0000219,19,595,transcription factor
558066,BAO_0000357,11082,400,enzyme
956342,BAO_0000357,100193,303,enzyme
1466061,BAO_0000357,10264,821,enzyme
857986,BAO_0000357,12952,459,enzyme
423382,BAO_0000249,10653,425,membrane receptor
514664,BAO_0000357,104,520,enzyme
740085,BAO_0000219,10982,465,membrane receptor
336819,BAO_0000357,10495,329,enzyme
159558,BAO_0000219,36,933,transcription factor
674959,BAO_0000357,12952,459,enzyme
463819,BAO_0000219,155,620,transporter
444756,BAO_0000219,129,400,membrane receptor
1504266,BAO_0000357,19639,460,enzyme
461701,BAO_0000357,194,488,enzyme
592387,BAO_0000357,12209,354,enzyme
456219,BAO_0000219,142,358,membrane receptor
634856,BAO_0000357,134,418,membrane receptor
540494,BAO_0000219,88,446,membrane receptor
306305,BAO_0000357,282,1078,membrane receptor
875959,BAO_0000219,12697,482,epigenetic regulator
400482,BAO_0000357,12209,354,enzyme
831558,BAO_0000357,10781,344,enzyme
989440,BAO_0000357,261,402,membrane receptor
331690,BAO_0000357,130,400,membrane receptor
717095,BAO_0000357,126,604,enzyme
1446363,BAO_0000357,11359,809,enzyme
469264,BAO_0000019,10378,339,enzyme
454895,BAO_0000219,11489,292,enzyme
339180,BAO_0000357,13000,469,enzyme
745951,BAO_0000219,127,487,membrane receptor
1473872,BAO_0000219,10906,635,enzyme
793572,BAO_0000219,10980,1356,enzyme
944083,BAO_0000357,11627,567,enzyme
444910,BAO_0000219,51,422,membrane receptor
423833,BAO_0000357,10193,261,enzyme
603253,BAO_0000357,10140,509,enzyme
1433877,BAO_0000357,12697,482,epigenetic regulator
946793,BAO_0000219,10980,1356,enzyme
1473820,BAO_0000219,10417,595,ion channel
642391,BAO_0000019,12949,508,enzyme
635467,BAO_0000219,50,477,membrane receptor
950696,BAO_0000357,10567,745,enzyme
61655,BAO_0000357,155,620,transporter
748230,BAO_0000219,165,1159,ion channel
1441678,BAO_0000219,12252,501,enzyme
88592,BAO_0000357,68,514,enzyme
453747,BAO_0000219,129,400,membrane receptor
303512,BAO_0000219,10548,355,membrane receptor
603918,BAO_0000357,20113,460,transcription factor
306821,BAO_0000219,11536,366,membrane receptor
331169,BAO_0000357,108,458,membrane receptor
665492,BAO_0000219,43,413,membrane receptor
1338425,BAO_0000219,11398,1280,transporter
436024,BAO_0000219,20113,460,transcription factor
851251,BAO_0000219,10919,1154,enzyme
339231,BAO_0000357,10980,1356,enzyme
336820,BAO_0000357,10498,333,enzyme
1517784,BAO_0000357,11362,1068,enzyme
862921,BAO_0000219,280,318,membrane receptor
957865,BAO_0000357,10849,1124,enzyme
454488,BAO_0000357,19,595,transcription factor
492848,BAO_0000219,133,505,transcription factor
699305,BAO_0000219,100,617,transporter
1538840,BAO_0000219,101357,388,enzyme
469779,BAO_0000357,72,443,membrane receptor
1349005,BAO_0000357,36,933,transcription factor
1458865,BAO_0000357,11843,733,enzyme
578027,BAO_0000219,121,630,transporter
330335,BAO_0000357,180,165,enzyme
591602,BAO_0000357,13001,660,enzyme
463452,BAO_0000219,137,380,membrane receptor
424722,BAO_0000357,10980,1356,enzyme
1452234,BAO_0000357,11206,488,epigenetic regulator
983491,BAO_0000357,9,1210,enzyme
1611,BAO_0000219,106,390,membrane receptor
634877,BAO_0000219,121,630,transporter
1348544,BAO_0000219,9,1210,enzyme
444873,BAO_0000357,10702,478,enzyme
634452,BAO_0000357,10781,344,enzyme
446575,BAO_0000357,56,920,transcription factor
1436287,BAO_0000219,103,572,membrane receptor
815276,BAO_0000219,10280,445,membrane receptor
364819,BAO_0000357,11269,447,transcription factor
841710,BAO_0000019,10044,391,enzyme
617082,BAO_0000219,121,630,transporter
365370,BAO_0000357,10498,333,enzyme
306592,BAO_0000357,174,530,transcription factor
874923,BAO_0000219,12252,501,enzyme
579534,BAO_0000219,259,360,membrane receptor
302630,BAO_0000357,10193,261,enzyme
820650,BAO_0000219,11082,400,enzyme
960637,BAO_0000357,11854,484,enzyme
1450412,BAO_0000219,100,617,transporter
479525,BAO_0000357,15,260,enzyme
629414,BAO_0000357,10280,445,membrane receptor
523688,BAO_0000219,87,472,membrane receptor
465694,BAO_0000219,114,326,membrane receptor
830169,BAO_0000357,12252,501,enzyme
225034,BAO_0000019,11120,417,enzyme
451040,BAO_0000357,12697,482,epigenetic regulator
444276,BAO_0000357,125,466,membrane receptor
789758,BAO_0000219,100126,766,enzyme
45555,BAO_0000357,10495,329,enzyme
445192,BAO_0000219,280,318,membrane receptor
384714,BAO_0000357,10434,536,enzyme
1365045,BAO_0000357,100217,233,ion channel
1367707,BAO_0000219,101412,1119,ion channel
1466223,BAO_0000219,103982,518,transcription factor
798647,BAO_0000219,124,444,membrane receptor
739627,BAO_0000357,194,488,enzyme
154717,BAO_0000357,197,1106,enzyme
302882,BAO_0000019,12952,459,enzyme
1441677,BAO_0000357,12252,501,enzyme
498933,BAO_0000357,10193,261,enzyme
652678,BAO_0000219,87,472,membrane receptor
769283,BAO_0000357,10599,736,enzyme
861928,BAO_0000357,10193,261,enzyme
1462969,BAO_0000357,55,674,enzyme
447757,BAO_0000249,10653,425,membrane receptor
790819,BAO_0000357,15,260,enzyme
452331,BAO_0000219,11265,364,membrane receptor
790799,BAO_0000357,10938,1132,enzyme
1348049,BAO_0000219,10906,635,enzyme
652722,BAO_0000357,100579,363,membrane receptor
810621,BAO_0000019,10980,1356,enzyme
884446,BAO_0000219,20174,395,membrane receptor
933993,BAO_0000219,11534,331,enzyme
757486,BAO_0000219,11489,292,enzyme
1518962,BAO_0000219,11541,503,enzyme
1462036,BAO_0000357,86,527,enzyme
775648,BAO_0000219,48,984,transcription factor
1284448,BAO_0000357,100855,326,enzyme
1468594,BAO_0000219,10627,440,membrane receptor
980062,BAO_0000219,76,503,enzyme
1511998,BAO_0000357,11939,1102,enzyme
788365,BAO_0000219,11290,390,membrane receptor
1545292,BAO_0000357,103091,625,enzyme
493930,BAO_0000357,10582,749,enzyme
584481,BAO_0000219,11489,292,enzyme
878081,BAO_0000219,100325,826,transcription factor
984237,BAO_0000357,11154,582,enzyme
1538990,BAO_0000357,8,1130,enzyme
948087,BAO_0000357,101351,323,enzyme
626548,BAO_0000219,18036,664,transporter
1517026,BAO_0000357,100144,380,enzyme
2300,BAO_0000357,107,471,membrane receptor
65258,BAO_0000219,188,1255,enzyme
88847,BAO_0000357,12913,1124,enzyme
802205,BAO_0000251,104,520,enzyme
1505364,BAO_0000219,10980,1356,enzyme
943972,BAO_0000357,15,260,enzyme
1520190,BAO_0000357,10849,1124,enzyme
3615,BAO_0000357,10627,440,membrane receptor
511651,BAO_0000219,11540,1480,ion channel
1730,BAO_0000357,105,377,membrane receptor
591600,BAO_0000357,11110,467,enzyme
1288264,BAO_0000357,10599,736,enzyme
1466565,BAO_0000357,13061,435,enzyme
856318,BAO_0000219,12622,1132,enzyme
305181,BAO_0000357,12252,501,enzyme
963503,BAO_0000019,10320,386,enzyme
748645,BAO_0000219,11280,1212,membrane receptor
748114,BAO_0000357,15,260,enzyme
749194,BAO_0000219,148,424,membrane receptor
770820,BAO_0000219,100325,826,transcription factor
642393,BAO_0000219,11541,503,enzyme
1274846,BAO_0000219,280,318,membrane receptor
517311,BAO_0000219,11085,362,membrane receptor
933544,BAO_0000219,10260,839,ion channel
430945,BAO_0000219,259,360,membrane receptor
623965,BAO_0000219,133,505,transcription factor
67684,BAO_0000357,174,530,transcription factor
435728,BAO_0000219,12592,707,enzyme
562674,BAO_0000019,100627,158,enzyme
649274,BAO_0000357,20154,863,enzyme
1475746,BAO_0000219,101014,629,enzyme
740118,BAO_0000219,20092,672,transporter
493154,BAO_0000219,165,1159,ion channel
39982,BAO_0000357,11156,353,membrane receptor
749354,BAO_0000219,10280,445,membrane receptor
1513802,BAO_0000249,101277,152,enzyme
540493,BAO_0000219,127,487,membrane receptor
747602,BAO_0000219,72,443,membrane receptor
423044,BAO_0000357,10434,536,enzyme
374026,BAO_0000219,11631,382,membrane receptor
424037,BAO_0000357,101502,426,enzyme
462245,BAO_0000357,10495,329,enzyme
425474,BAO_0000357,10980,1356,enzyme
802787,BAO_0000357,11575,374,membrane receptor
1462967,BAO_0000219,133,505,transcription factor
519285,BAO_0000357,87,472,membrane receptor
1351267,BAO_0000357,101464,1239,enzyme
305828,BAO_0000357,11636,671,enzyme
1288559,BAO_0000357,10849,1124,enzyme
612867,BAO_0000219,65,503,enzyme
1463777,BAO_0000357,56,920,transcription factor
408842,BAO_0000357,10131,277,enzyme
453433,BAO_0000357,121,630,transporter
447433,BAO_0000357,87,472,membrane receptor
827862,BAO_0000357,10193,261,enzyme
445356,BAO_0000219,72,443,membrane receptor
429941,BAO_0000219,19,595,transcription factor
332950,BAO_0000357,259,360,membrane receptor
590501,BAO_0000357,137,380,membrane receptor
1432320,BAO_0000357,11910,482,enzyme
1437136,BAO_0000357,10087,260,enzyme
329321,BAO_0000219,108,458,membrane receptor
439850,BAO_0000019,11267,583,enzyme
1498391,BAO_0000357,100126,766,enzyme
699400,BAO_0000357,11180,486,transcription factor
1444808,BAO_0000219,12718,431,enzyme
1519157,BAO_0000219,11541,503,enzyme
195489,BAO_0000219,270,455,transcription factor
424087,BAO_0000357,100,617,transporter
362909,BAO_0000219,11084,350,membrane receptor
798533,BAO_0000019,242,316,enzyme
824506,BAO_0000219,252,412,membrane receptor
304582,BAO_0000357,163,468,transcription factor
469339,BAO_0000219,10009,425,membrane receptor
1450410,BAO_0000219,121,630,transporter
861317,BAO_0000019,11512,328,enzyme
595954,BAO_0000357,11016,317,enzyme
443528,BAO_0000357,11627,567,enzyme
332949,BAO_0000357,87,472,membrane receptor
302284,BAO_0000357,194,488,enzyme
555221,BAO_0000357,10927,389,membrane receptor
1465408,BAO_0000357,10193,261,enzyme
1441587,BAO_0000357,11638,360,enzyme
830977,BAO_0000219,259,360,membrane receptor
361714,BAO_0000357,108,458,membrane receptor
849881,BAO_0000219,103725,391,ion channel
303486,BAO_0000219,252,412,membrane receptor
490570,BAO_0000357,12214,619,enzyme
684890,BAO_0000219,11239,1025,enzyme
990217,BAO_0000251,101414,488,enzyme
455656,BAO_0000357,11254,433,transcription factor
674957,BAO_0000357,10193,261,enzyme
429695,BAO_0000019,10188,360,enzyme
41592,BAO_0000221,10532,602,enzyme
1449714,BAO_0000219,43,413,membrane receptor
726926,BAO_0000357,121,630,transporter
841711,BAO_0000019,12780,350,enzyme
48666,BAO_0000357,194,488,enzyme
510097,BAO_0000219,124,444,membrane receptor
1444801,BAO_0000357,11939,1102,enzyme
1362163,BAO_0000219,101277,152,enzyme
663402,BAO_0000219,10845,1074,enzyme
305919,BAO_0000357,174,530,transcription factor
1545188,BAO_0000357,11541,503,enzyme
303107,BAO_0000219,10627,440,membrane receptor
813069,BAO_0000357,10980,1356,enzyme
1520363,BAO_0000219,30018,647,enzyme
552750,BAO_0000357,194,488,enzyme
811654,BAO_0000357,11336,445,membrane receptor
492826,BAO_0000219,19,595,transcription factor
762142,BAO_0000357,11507,559,enzyme
377971,BAO_0000357,11473,824,enzyme
501358,BAO_0000366,10517,493,ion channel
966397,BAO_0000219,102393,193,enzyme
1366807,BAO_0000219,10209,479,membrane receptor
944553,BAO_0000219,56,920,transcription factor
942281,BAO_0000219,72,443,membrane receptor
346083,BAO_0000357,72,443,membrane receptor
957421,BAO_0000219,11489,292,enzyme
302506,BAO_0000357,10003,412,enzyme
424612,BAO_0000357,133,505,transcription factor
617674,BAO_0000357,10495,329,enzyme
664610,BAO_0000219,252,412,membrane receptor
971725,BAO_0000219,10477,381,membrane receptor
339196,BAO_0000219,9,1210,enzyme
1469044,BAO_0000219,136,372,membrane receptor
1477160,BAO_0000019,102698,199,enzyme
1462820,BAO_0000219,259,360,membrane receptor
798256,BAO_0000219,11290,390,membrane receptor
1362174,BAO_0000357,17050,651,enzyme
208308,BAO_0000357,11,622,enzyme
583409,BAO_0000357,8,1130,enzyme
479245,BAO_0000357,11575,374,membrane receptor
424265,BAO_0000357,10849,1124,enzyme
665404,BAO_0000357,100666,493,enzyme
306137,BAO_0000219,174,530,transcription factor
647383,BAO_0000357,104,520,enzyme
885318,BAO_0000357,100010,779,enzyme
1353179,BAO_0000357,11451,1390,enzyme
479225,BAO_0000219,129,400,membrane receptor
1278746,BAO_0000219,100974,655,transporter
1449508,BAO_0000219,10938,1132,enzyme
456336,BAO_0000357,10495,329,enzyme
321488,BAO_0000219,11631,382,membrane receptor
770593,BAO_0000019,165,1159,ion channel
493212,BAO_0000219,11307,1215,epigenetic regulator
302272,BAO_0000357,165,1159,ion channel
771564,BAO_0000357,8,1130,enzyme
423832,BAO_0000357,10186,308,enzyme
814442,BAO_0000357,15,260,enzyme
457431,BAO_0000357,11663,1014,enzyme
832415,BAO_0000219,124,444,membrane receptor
302318,BAO_0000357,12952,459,enzyme
960258,BAO_0000219,146,477,membrane receptor
306184,BAO_0000357,10495,329,enzyme
1440951,BAO_0000357,9,1210,enzyme
343377,BAO_0000219,19905,422,membrane receptor
320947,BAO_0000357,10142,332,membrane receptor
580958,BAO_0000357,20174,395,membrane receptor
948316,BAO_0000019,100446,399,epigenetic regulator
592404,BAO_0000019,11512,328,enzyme
627676,BAO_0000357,259,360,membrane receptor
336866,BAO_0000357,10131,277,enzyme
61453,BAO_0000357,72,443,membrane receptor
88197,BAO_0000357,235,267,enzyme
675462,BAO_0000019,10653,425,membrane receptor
804822,BAO_0000357,100010,779,enzyme
600518,BAO_0000357,11,622,enzyme
438558,BAO_0000219,259,360,membrane receptor
449391,BAO_0000219,56,920,transcription factor
398762,BAO_0000357,13053,387,enzyme
535113,BAO_0000357,174,530,transcription factor
635509,BAO_0000219,20092,672,transporter
607703,BAO_0000357,11149,1388,enzyme
974049,BAO_0000357,20095,465,enzyme
437000,BAO_0000219,12227,441,transcription factor
540794,BAO_0000357,72,443,membrane receptor
856080,BAO_0000219,100974,655,transporter
389967,BAO_0000357,163,468,transcription factor
423467,BAO_0000219,155,620,transporter
793275,BAO_0000357,165,1159,ion channel
1651041,BAO_0000219,103574,461,enzyme
797690,BAO_0000357,165,1159,ion channel
422206,BAO_0000357,10980,1356,enzyme
1435180,BAO_0000357,10918,620,enzyme
425211,BAO_0000219,11156,353,membrane receptor
716843,BAO_0000357,12627,1089,enzyme
1279400,BAO_0000357,11912,434,transcription factor
934786,BAO_0000219,11398,1280,transporter
1463746,BAO_0000357,86,527,enzyme
627238,BAO_0000019,133,505,transcription factor
454132,BAO_0000019,10980,1356,enzyme
610769,BAO_0000219,155,620,transporter
746073,BAO_0000219,10472,428,membrane receptor
591599,BAO_0000357,12592,707,enzyme
1457557,BAO_0000357,11362,1068,enzyme
1509947,BAO_0000357,12724,740,enzyme
1296837,BAO_0000357,250,407,membrane receptor
493235,BAO_0000357,10532,602,enzyme
400480,BAO_0000357,15,260,enzyme
757048,BAO_0000357,115,359,membrane receptor
641693,BAO_0000357,8,1130,enzyme
468879,BAO_0000357,100098,646,enzyme
447443,BAO_0000357,12227,441,transcription factor
541031,BAO_0000357,90,419,membrane receptor
983462,BAO_0000357,13001,660,enzyme
359815,BAO_0000357,12666,480,enzyme
1455679,BAO_0000219,101277,152,enzyme
748165,BAO_0000357,12952,459,enzyme
500797,BAO_0000357,11180,486,transcription factor
967916,BAO_0000357,11362,1068,enzyme
811754,BAO_0000219,65,503,enzyme
329643,BAO_0000357,100126,766,enzyme
978640,BAO_0000219,107640,931,ion channel
571718,BAO_0000019,237,611,enzyme
1275747,BAO_0000357,11910,482,enzyme
396625,BAO_0000357,10188,360,enzyme
472646,BAO_0000219,108,458,membrane receptor
65638,BAO_0000019,249,427,membrane receptor
457669,BAO_0000357,11758,463,membrane receptor
327488,BAO_0000357,163,468,transcription factor
497074,BAO_0000357,93,614,enzyme
1453239,BAO_0000219,101568,1041,membrane receptor
1348045,BAO_0000357,11842,512,enzyme
814117,BAO_0000019,12883,163,enzyme
60676,BAO_0000357,90,419,membrane receptor
440653,BAO_0000357,275,462,transcription factor
786455,BAO_0000219,86,527,enzyme
643702,BAO_0000357,10495,329,enzyme
519586,BAO_0000357,11042,305,enzyme
463656,BAO_0000219,10209,479,membrane receptor
822962,BAO_0000219,101414,488,enzyme
396482,BAO_0000357,163,468,transcription factor
1351232,BAO_0000219,103982,518,transcription factor
940570,BAO_0000357,10980,1356,enzyme
958949,BAO_0000219,11055,877,membrane receptor
305749,BAO_0000357,25,777,transcription factor
635311,BAO_0000357,12913,1124,enzyme
448361,BAO_0000019,220,477,membrane receptor
1278751,BAO_0000357,11663,1014,enzyme
824657,BAO_0000357,15,260,enzyme
1434446,BAO_0000357,11290,390,membrane receptor
495151,BAO_0000219,118,328,membrane receptor
2292,BAO_0000019,107,471,membrane receptor
499866,BAO_0000219,278,332,membrane receptor
743882,BAO_0000219,117,369,membrane receptor
802204,BAO_0000251,86,527,enzyme
773759,BAO_0000357,165,1159,ion channel
875958,BAO_0000219,11307,1215,epigenetic regulator
1473870,BAO_0000357,10906,635,enzyme
940355,BAO_0000357,100077,574,enzyme
800394,BAO_0000219,100126,766,enzyme
351708,BAO_0000357,55,674,enzyme
946419,BAO_0000219,87,472,membrane receptor
643701,BAO_0000357,11534,331,enzyme
1363489,BAO_0000019,11512,328,enzyme
771509,BAO_0000357,10197,420,enzyme
347374,BAO_0000357,10266,822,enzyme
32014,BAO_0000219,280,318,membrane receptor
617377,BAO_0000357,10495,329,enzyme
352405,BAO_0000357,12952,459,enzyme
510471,BAO_0000219,259,360,membrane receptor
1279587,BAO_0000357,101014,629,enzyme
1353683,BAO_0000219,100431,300,membrane receptor
1444802,BAO_0000357,11362,1068,enzyme
813180,BAO_0000357,170,1141,enzyme
606474,BAO_0000357,93,614,enzyme
320755,BAO_0000357,11,622,enzyme
339093,BAO_0000219,18036,664,transporter
